:START_ID,:END_ID
b #,b !
b $,b !
b %,b !
b &,b !
b ',b !
b (,b !
b ),b !
b *,b !
b +,b !
b -,b !
b .,b !
b /,b !
b 0,b !
b 1,b !
b 2,b !
b 3,b !
b 4,b !
b 5,b !
b 6,b !
b 7,b !
b 8,b !
b 9,b !
b :,b !
b ;,b !
b <,b !
b =,b !
b >,b !
b ?,b !
b @,b !
b A,b !
b B,b !
b C,b !
b D,b !
b E,b !
b F,b !
b G,b !
b H,b !
b I,b !
b J,b !
b K,b !
b L,b !
b M,b !
b N,b !
b O,b !
b P,b !
b Q,b !
b R,b !
b S,b !
b T,b !
b U,b !
b V,b !
b W,b !
b X,b !
b Y,b !
b Z,b !
b [,b !
b ],b !
b ^,b !
b _,b !
b `,b !
b a,b !
b b,b !
b c,b !
b d,b !
b e,b !
b f,b !
b g,b !
b h,b !
b i,b !
b j,b !
b k,b !
b l,b !
b m,b !
b n,b !
b o,b !
b p,b !
b q,b !
b r,b !
b s,b !
b t,b !
b u,b !
b v,b !
b w,b !
b x,b !
b y,b !
b z,b !
b {,b !
b |,b !
b },b !
b ~,b !
b !!,b !
b !#,b !
b !$,b !
b !%,b !
b !&,b !
b !',b !
b !(,b !
b !),b !
b !*,b !
b !+,b !
b !-,b !
b !.,b !
b !/,b !
b !0,b !
b !1,b !
b !2,b !
b !3,b !
b !4,b !
b !5,b !
b !6,b !
b !7,b !
b !8,b !
b !9,b !
b !:,b !
b !;,b !
b !<,b !
b !=,b !
b !>,b !
b !?,b !
b !@,b !
b !A,b !
b !B,b !
b !C,b !
b !D,b !
b !E,b !
b !F,b !
b !G,b !
b !H,b !
b !I,b !
b !K,b !J
b !L,b !J
b !M,b !J
b !N,b !J
b !O,b !J
b !P,b !J
b !Q,b !J
b !R,b !J
b !S,b !J
b !T,b !J
b !U,b !J
b !V,b !J
b !W,b !J
b !X,b !J
b !Y,b !J
b !Z,b !J
b ![,b !J
b !],b !J
b !^,b !J
b !_,b !J
b !`,b !J
b !a,b !J
b !b,b !J
b !c,b !J
b !d,b !J
b !e,b !J
b !f,b !J
b !g,b !J
b !h,b !J
b !i,b !J
b !j,b !J
b !k,b !J
b !l,b !J
b !m,b !J
b !n,b !J
b !o,b !J
b !p,b !J
b !q,b !J
b !r,b !J
b !s,b !J
b !t,b !J
b !u,b !J
b !v,b !J
b !w,b !J
b !x,b !J
b !y,b !J
b !z,b !J
b !{,b !J
b !|,b !J
b !},b !J
b !~,b !J
b #!,b !J
b ##,b !J
b #$,b !J
b #%,b !J
b #&,b !J
b #',b !J
b #(,b !J
b #),b !J
b #*,b !J
b #+,b !J
b #-,b !J
b #.,b !J
b #/,b !J
b #0,b !J
b #1,b !J
b #2,b !J
b #3,b !J
b #4,b !J
b #5,b !J
b #6,b !J
b #7,b !J
b #8,b !J
b #9,b !J
b #:,b !J
b #;,b !J
b #<,b !J
b #=,b !J
b #>,b !J
b #?,b !J
b #@,b !J
b #A,b !J
b #B,b !J
b #C,b !J
b #D,b !J
b #E,b !J
b #F,b !J
b #G,b !J
b #H,b !J
b #I,b !J
b #J,b !J
b #K,b !J
b #L,b !J
b #M,b !J
b #N,b !J
b #O,b !J
b #P,b !J
b #Q,b !J
b #R,b !J
b #S,b !J
b #T,b !J
b #U,b !J
b #V,b !J
b #W,b !J
b #X,b !J
b #Y,b !J
b #Z,b !J
b #[,b !J
b #],b !J
b #^,b !J
b #_,b !J
b #`,b !J
b #a,b !J
b #b,b !J
b #c,b !J
b #d,b !J
b #e,b !J
b #f,b !J
b #g,b !J
b #h,b !J
b #i,b !J
b #j,b !J
b #k,b !J
b #l,b !J
b #m,b !J
b #n,b !J
b #o,b !J
b #p,b !J
