:START_ID,:END_ID
.S #,.S !
.S $,.S !
.S %,.S !
.S &,.S !
.S ',.S !
.S (,.S !
.S ),.S !
.S *,.S !
.S +,.S !
.S -,.S !
.S .,.S !
.S /,.S !
.S 0,.S !
.S 1,.S !
.S 2,.S !
.S 3,.S !
.S 4,.S !
.S 5,.S !
.S 6,.S !
.S 7,.S !
.S 8,.S !
.S 9,.S !
.S :,.S !
.S ;,.S !
.S <,.S !
.S =,.S !
.S >,.S !
.S ?,.S !
.S @,.S !
.S A,.S !
.S B,.S !
.S C,.S !
.S D,.S !
.S E,.S !
.S F,.S !
.S G,.S !
.S H,.S !
.S I,.S !
.S J,.S !
.S K,.S !
.S L,.S !
.S M,.S !
.S N,.S !
.S O,.S !
.S P,.S !
.S Q,.S !
.S R,.S !
.S S,.S !
.S T,.S !
.S U,.S !
.S V,.S !
.S W,.S !
.S X,.S !
.S Y,.S !
.S Z,.S !
.S [,.S !
.S ],.S !
.S ^,.S !
.S _,.S !
.S `,.S !
.S a,.S !
.S b,.S !
.S c,.S !
.S d,.S !
.S e,.S !
.S f,.S !
.S g,.S !
.S h,.S !
.S i,.S !
.S j,.S !
.S k,.S !
.S l,.S !
.S m,.S !
.S n,.S !
.S o,.S !
.S p,.S !
.S q,.S !
.S r,.S !
.S s,.S !
.S t,.S !
.S u,.S !
.S v,.S !
.S w,.S !
.S x,.S !
.S y,.S !
.S z,.S !
.S {,.S !
.S |,.S !
.S },.S !
.S ~,.S !
.S !!,.S !
.S !#,.S !
.S !$,.S !
.S !%,.S !
.S !&,.S !
.S !',.S !
.S !(,.S !
.S !),.S !
.S !*,.S !
.S !+,.S !
.S !-,.S !
.S !.,.S !
.S !/,.S !
.S !0,.S !
.S !1,.S !
.S !2,.S !
.S !3,.S !
.S !4,.S !
.S !5,.S !
.S !6,.S !
.S !7,.S !
.S !8,.S !
.S !9,.S !
.S !:,.S !
.S !;,.S !
.S !<,.S !
.S !=,.S !
.S !>,.S !
.S !?,.S !
.S !@,.S !
.S !A,.S !
.S !B,.S !
.S !C,.S !
.S !D,.S !
.S !E,.S !
.S !F,.S !
.S !G,.S !
.S !H,.S !
.S !I,.S !
.S !J,.S !
.S !K,.S !
.S !L,.S !
.S !M,.S !
.S !N,.S !
.S !O,.S !
.S !P,.S !
.S !Q,.S !
.S !R,.S !
.S !S,.S !
.S !T,.S !
.S !U,.S !
.S !V,.S !
.S !W,.S !
.S !X,.S !
.S !Y,.S !
.S !Z,.S !
.S ![,.S !
.S !],.S !
.S !^,.S !
.S !_,.S !
.S !`,.S !
.S !a,.S !
.S !b,.S !
.S !c,.S !
.S !d,.S !
.S !e,.S !
.S !f,.S !
.S !g,.S !
.S !h,.S !
.S !i,.S !
.S !j,.S !
.S !k,.S !
.S !l,.S !
.S !m,.S !
.S !n,.S !
.S !o,.S !
.S !p,.S !
.S !q,.S !
.S !r,.S !
.S !s,.S !
.S !t,.S !
.S !u,.S !
.S !v,.S !
.S !w,.S !
.S !x,.S !
.S !y,.S !
.S !z,.S !
.S !{,.S !
.S !|,.S !
.S !},.S !
.S !~,.S !
.S #!,.S !
.S ##,.S !
.S #$,.S !
.S #%,.S !
.S #&,.S !
.S #',.S !
.S #(,.S !
.S #),.S !
.S #*,.S !
.S #+,.S !
.S #-,.S !
.S #.,.S !
.S #/,.S !
.S #0,.S !
.S #1,.S !
.S #2,.S !
.S #3,.S !
.S #4,.S !
.S #5,.S !
.S #6,.S !
.S #7,.S !
.S #8,.S !
.S #9,.S !
.S #:,.S !
.S #;,.S !
.S #<,.S !
.S #=,.S !
.S #>,.S !
.S #?,.S !
.S #@,.S !
.S #A,.S !
.S #B,.S !
.S #C,.S !
.S #D,.S !
.S #E,.S !
.S #F,.S !
.S #G,.S !
.S #H,.S !
.S #I,.S !
.S #J,.S !
.S #K,.S !
.S #L,.S !
.S #M,.S !
.S #N,.S !
.S #O,.S !
.S #P,.S !
.S #Q,.S !
.S #R,.S !
.S #S,.S !
.S #T,.S !
.S #U,.S !
.S #V,.S !
.S #W,.S !
.S #X,.S !
.S #Y,.S !
.S #Z,.S !
.S #[,.S !
.S #],.S !
.S #^,.S !
.S #_,.S !
.S #`,.S !
.S #a,.S !
.S #b,.S !
.S #d,.S #c
.S #e,.S #c
.S #f,.S #c
.S #g,.S #c
.S #h,.S #c
.S #i,.S #c
.S #j,.S #c
.S #k,.S #c
.S #l,.S #c
.S #m,.S #c
.S #n,.S #c
.S #o,.S #c
.S #p,.S #c
.S #q,.S #c
.S #r,.S #c
.S #s,.S #c
.S #t,.S #c
.S #u,.S #c
.S #v,.S #c
.S #w,.S #c
.S #x,.S #c
.S #y,.S #c
.S #z,.S #c
.S #{,.S #c
.S #|,.S #c
.S #},.S #c
.S #~,.S #c
.S $!,.S #c
.S $#,.S #c
.S $$,.S #c
.S $%,.S #c
.S $&,.S #c
.S $',.S #c
.S $(,.S #c
.S $),.S #c
.S $*,.S #c
.S $+,.S #c
.S $-,.S #c
.S $.,.S #c
.S $/,.S #c
.S $0,.S #c
.S $1,.S #c
.S $2,.S #c
.S $3,.S #c
.S $4,.S #c
.S $5,.S #c
.S $6,.S #c
.S $7,.S #c
.S $8,.S #c
.S $9,.S #c
.S $:,.S #c
.S $;,.S #c
.S $<,.S #c
.S $=,.S #c
.S $>,.S #c
.S $?,.S #c
.S $@,.S #c
.S $A,.S #c
.S $B,.S #c
.S $C,.S #c
.S $D,.S #c
.S $E,.S #c
.S $F,.S #c
.S $G,.S #c
.S $H,.S #c
.S $I,.S #c
.S $J,.S #c
.S $K,.S #c
.S $L,.S #c
.S $M,.S #c
.S $N,.S #c
.S $O,.S #c
.S $P,.S #c
.S $Q,.S #c
.S $R,.S #c
.S $S,.S #c
.S $U,.S $T
.S $V,.S $T
.S $W,.S $T
.S $X,.S $T
.S $Y,.S $T
.S $Z,.S $T
.S $[,.S $T
.S $],.S $T
.S $^,.S $T
.S $_,.S $T
.S $`,.S $T
.S $a,.S $T
.S $b,.S $T
.S $c,.S $T
.S $d,.S $T
.S $e,.S $T
.S $f,.S $T
.S $g,.S $T
.S $h,.S $T
.S $i,.S $T
.S $j,.S $T
.S $k,.S $T
.S $l,.S $T
.S $m,.S $T
.S $n,.S $T
.S $o,.S $T
.S $p,.S $T
.S $q,.S $T
.S $r,.S $T
.S $s,.S $T
.S $t,.S $T
.S $u,.S $T
.S $v,.S $T
.S $w,.S $T
.S $x,.S $T
.S $y,.S $T
.S $z,.S $T
.S ${,.S $T
.S $|,.S $T
.S $},.S $T
.S $~,.S $T
.S %!,.S $T
.S %#,.S $T
.S %$,.S $T
.S %%,.S $T
.S %&,.S $T
.S %',.S $T
.S %(,.S $T
.S %),.S $T
.S %*,.S $T
.S %+,.S $T
.S %-,.S $T
.S %.,.S $T
.S %/,.S $T
.S %0,.S $T
.S %1,.S $T
.S %2,.S $T
.S %3,.S $T
.S %4,.S $T
.S %5,.S $T
.S %6,.S $T
.S %7,.S $T
.S %8,.S $T
.S %9,.S $T
.S %:,.S $T
.S %;,.S $T
.S %<,.S $T
.S %=,.S $T
.S %>,.S $T
.S %?,.S $T
.S %@,.S $T
.S %A,.S $T
.S %B,.S $T
.S %C,.S $T
.S %D,.S $T
.S %E,.S $T
.S %F,.S $T
.S %G,.S $T
.S %H,.S $T
.S %I,.S $T
.S %J,.S $T
.S %K,.S $T
.S %L,.S $T
.S %M,.S $T
.S %N,.S $T
.S %O,.S $T
.S %P,.S $T
.S %Q,.S $T
.S %R,.S $T
.S %S,.S $T
.S %T,.S $T
.S %U,.S $T
.S %V,.S $T
.S %W,.S $T
.S %X,.S $T
.S %Y,.S $T
.S %Z,.S $T
.S %[,.S $T
.S %],.S $T
.S %^,.S $T
.S %_,.S $T
.S %`,.S $T
.S %a,.S $T
.S %b,.S $T
.S %c,.S $T
.S %d,.S $T
.S %e,.S $T
.S %f,.S $T
.S %g,.S $T
.S %h,.S $T
.S %i,.S $T
.S %j,.S $T
.S %k,.S $T
.S %l,.S $T
.S %m,.S $T
.S %n,.S $T
.S %o,.S $T
.S %p,.S $T
.S %q,.S $T
.S %r,.S $T
.S %s,.S $T
.S %t,.S $T
.S %u,.S $T
.S %v,.S $T
.S %w,.S $T
.S %x,.S $T
.S %y,.S $T
.S %z,.S $T
.S %{,.S $T
.S %|,.S $T
.S %},.S $T
.S %~,.S $T
.S &!,.S $T
.S &#,.S $T
.S &$,.S $T
.S &%,.S $T
.S &&,.S $T
.S &',.S $T
.S &(,.S $T
.S &),.S $T
.S &*,.S $T
.S &+,.S $T
.S &-,.S $T
.S &.,.S $T
.S &/,.S $T
.S &0,.S $T
.S &1,.S $T
.S &2,.S $T
.S &3,.S $T
.S &4,.S $T
.S &5,.S $T
.S &6,.S $T
.S &7,.S $T
