:START_ID,:END_ID
*R #,*R !
*R $,*R !
*R %,*R !
*R &,*R !
*R ',*R !
*R (,*R !
*R ),*R !
*R *,*R !
*R +,*R !
*R -,*R !
*R .,*R !
*R /,*R !
*R 0,*R !
*R 1,*R !
*R 2,*R !
*R 3,*R !
*R 4,*R !
*R 5,*R !
*R 6,*R !
*R 7,*R !
*R 8,*R !
*R 9,*R !
*R :,*R !
*R ;,*R !
*R <,*R !
*R =,*R !
*R >,*R !
*R ?,*R !
*R @,*R !
*R A,*R !
*R B,*R !
*R C,*R !
*R D,*R !
*R E,*R !
*R F,*R !
*R G,*R !
*R H,*R !
*R I,*R !
*R J,*R !
*R K,*R !
*R L,*R !
*R M,*R !
*R N,*R !
*R O,*R !
*R P,*R !
*R Q,*R !
*R R,*R !
*R S,*R !
*R T,*R !
*R U,*R !
*R V,*R !
*R W,*R !
*R X,*R !
*R Y,*R !
*R Z,*R !
*R [,*R !
*R ],*R !
*R _,*R ^
*R `,*R ^
*R a,*R ^
*R b,*R ^
*R c,*R ^
*R d,*R ^
*R e,*R ^
*R f,*R ^
*R g,*R ^
*R h,*R ^
*R i,*R ^
*R j,*R ^
*R k,*R ^
*R l,*R ^
*R m,*R ^
*R n,*R ^
*R o,*R ^
*R p,*R ^
*R q,*R ^
*R r,*R ^
*R s,*R ^
*R t,*R ^
*R u,*R ^
*R v,*R ^
*R w,*R ^
*R x,*R ^
*R y,*R ^
*R z,*R ^
*R {,*R ^
*R |,*R ^
*R },*R ^
*R ~,*R ^
*R !!,*R ^
*R !#,*R ^
*R !$,*R ^
*R !%,*R ^
*R !&,*R ^
*R !',*R ^
*R !(,*R ^
*R !),*R ^
*R !*,*R ^
*R !+,*R ^
*R !-,*R ^
*R !.,*R ^
*R !/,*R ^
*R !0,*R ^
*R !1,*R ^
*R !2,*R ^
*R !3,*R ^
*R !4,*R ^
*R !5,*R ^
*R !6,*R ^
*R !7,*R ^
*R !8,*R ^
*R !9,*R ^
*R !:,*R ^
*R !;,*R ^
*R !<,*R ^
*R !=,*R ^
*R !>,*R ^
*R !?,*R ^
*R !@,*R ^
*R !A,*R ^
*R !B,*R ^
*R !C,*R ^
*R !D,*R ^
*R !E,*R ^
*R !F,*R ^
*R !G,*R ^
*R !H,*R ^
*R !I,*R ^
*R !J,*R ^
*R !K,*R ^
*R !L,*R ^
*R !M,*R ^
*R !N,*R ^
*R !O,*R ^
*R !P,*R ^
*R !Q,*R ^
*R !R,*R ^
*R !S,*R ^
*R !T,*R ^
*R !U,*R ^
*R !V,*R ^
*R !W,*R ^
*R !X,*R ^
*R !Y,*R ^
*R !Z,*R ^
*R ![,*R ^
*R !],*R ^
*R !^,*R ^
*R !_,*R ^
*R !`,*R ^
*R !a,*R ^
*R !b,*R ^
*R !c,*R ^
*R !d,*R ^
*R !e,*R ^
*R !f,*R ^
*R !g,*R ^
*R !h,*R ^
*R !i,*R ^
*R !j,*R ^
*R !k,*R ^
*R !l,*R ^
*R !m,*R ^
*R !n,*R ^
*R !o,*R ^
*R !p,*R ^
*R !q,*R ^
*R !r,*R ^
*R !s,*R ^
*R !t,*R ^
*R !u,*R ^
*R !v,*R ^
*R !w,*R ^
*R !x,*R ^
*R !y,*R ^
*R !z,*R ^
*R !{,*R ^
*R !|,*R ^
*R !},*R ^
*R !~,*R ^
*R #!,*R ^
*R ##,*R ^
*R #$,*R ^
*R #%,*R ^
*R #&,*R ^
*R #',*R ^
*R #(,*R ^
*R #),*R ^
*R #*,*R ^
*R #+,*R ^
*R #-,*R ^
*R #.,*R ^
*R #/,*R ^
*R #0,*R ^
*R #1,*R ^
*R #2,*R ^
*R #3,*R ^
*R #5,*R #4
*R #6,*R #4
*R #7,*R #4
*R #8,*R #4
*R #9,*R #4
*R #:,*R #4
*R #;,*R #4
*R #<,*R #4
*R #=,*R #4
*R #>,*R #4
*R #?,*R #4
*R #@,*R #4
*R #A,*R #4
*R #B,*R #4
*R #C,*R #4
*R #D,*R #4
*R #E,*R #4
*R #F,*R #4
*R #G,*R #4
*R #H,*R #4
*R #J,*R #I
*R #K,*R #I
*R #L,*R #I
*R #M,*R #I
*R #N,*R #I
*R #O,*R #I
*R #P,*R #I
*R #Q,*R #I
*R #R,*R #I
*R #S,*R #I
*R #T,*R #I
*R #U,*R #I
*R #V,*R #I
*R #W,*R #I
*R #X,*R #I
*R #Y,*R #I
*R #Z,*R #I
*R #[,*R #I
*R #],*R #I
*R #^,*R #I
*R #_,*R #I
*R #`,*R #I
*R #a,*R #I
*R #b,*R #I
*R #c,*R #I
*R #d,*R #I
*R #e,*R #I
*R #f,*R #I
*R #g,*R #I
*R #h,*R #I
*R #i,*R #I
*R #j,*R #I
*R #k,*R #I
*R #l,*R #I
*R #m,*R #I
*R #n,*R #I
*R #o,*R #I
*R #p,*R #I
*R #q,*R #I
*R #r,*R #I
*R #s,*R #I
*R #t,*R #I
*R #u,*R #I
*R #v,*R #I
*R #w,*R #I
*R #x,*R #I
*R #y,*R #I
*R #z,*R #I
*R #{,*R #I
*R #|,*R #I
*R #},*R #I
*R #~,*R #I
*R $!,*R #I
*R $#,*R #I
*R $$,*R #I
*R $%,*R #I
*R $&,*R #I
*R $',*R #I
*R $(,*R #I
*R $),*R #I
*R $*,*R #I
*R $+,*R #I
*R $-,*R #I
*R $.,*R #I
*R $/,*R #I
*R $0,*R #I
*R $1,*R #I
*R $2,*R #I
*R $3,*R #I
*R $4,*R #I
*R $5,*R #I
*R $6,*R #I
*R $7,*R #I
*R $8,*R #I
*R $9,*R #I
*R $:,*R #I
*R $;,*R #I
*R $<,*R #I
*R $=,*R #I
*R $>,*R #I
*R $?,*R #I
*R $@,*R #I
*R $A,*R #I
*R $B,*R #I
*R $C,*R #I
*R $D,*R #I
*R $E,*R #I
*R $G,*R $F
*R $H,*R $F
*R $I,*R $F
*R $J,*R $F
*R $K,*R $F
*R $L,*R $F
*R $M,*R $F
*R $N,*R $F
*R $O,*R $F
*R $P,*R $F
*R $Q,*R $F
*R $R,*R $F
*R $S,*R $F
*R $T,*R $F
*R $U,*R $F
*R $V,*R $F
*R $W,*R $F
*R $X,*R $F
*R $Y,*R $F
*R $Z,*R $F
*R $[,*R $F
*R $],*R $F
*R $^,*R $F
*R $_,*R $F
*R $`,*R $F
*R $a,*R $F
*R $b,*R $F
*R $c,*R $F
*R $d,*R $F
*R $e,*R $F
*R $f,*R $F
*R $g,*R $F
*R $h,*R $F
*R $i,*R $F
*R $j,*R $F
*R $k,*R $F
*R $l,*R $F
*R $m,*R $F
*R $n,*R $F
*R $o,*R $F
*R $p,*R $F
*R $q,*R $F
*R $r,*R $F
*R $s,*R $F
*R $t,*R $F
*R $u,*R $F
*R $v,*R $F
*R $w,*R $F
*R $x,*R $F
*R $y,*R $F
*R $z,*R $F
*R ${,*R $F
*R $|,*R $F
*R $},*R $F
*R $~,*R $F
*R %!,*R $F
*R %$,*R %#
*R %%,*R %#
*R %&,*R %#
*R %',*R %#
*R %(,*R %#
*R %),*R %#
*R %*,*R %#
*R %+,*R %#
*R %-,*R %#
*R %.,*R %#
*R %/,*R %#
*R %0,*R %#
*R %1,*R %#
*R %2,*R %#
*R %3,*R %#
*R %4,*R %#
*R %5,*R %#
*R %6,*R %#
*R %7,*R %#
*R %8,*R %#
*R %9,*R %#
*R %:,*R %#
*R %;,*R %#
*R %<,*R %#
*R %=,*R %#
*R %>,*R %#
*R %?,*R %#
*R %@,*R %#
*R %A,*R %#
*R %B,*R %#
*R %C,*R %#
*R %D,*R %#
*R %E,*R %#
*R %F,*R %#
*R %G,*R %#
*R %H,*R %#
*R %I,*R %#
*R %J,*R %#
*R %K,*R %#
*R %L,*R %#
*R %M,*R %#
*R %N,*R %#
*R %O,*R %#
*R %P,*R %#
*R %Q,*R %#
*R %R,*R %#
*R %S,*R %#
*R %T,*R %#
*R %U,*R %#
*R %V,*R %#
*R %W,*R %#
*R %X,*R %#
*R %Y,*R %#
*R %Z,*R %#
*R %[,*R %#
*R %],*R %#
*R %^,*R %#
*R %_,*R %#
*R %`,*R %#
*R %a,*R %#
*R %b,*R %#
*R %c,*R %#
*R %d,*R %#
*R %e,*R %#
*R %f,*R %#
*R %g,*R %#
*R %h,*R %#
*R %i,*R %#
*R %j,*R %#
*R %k,*R %#
*R %l,*R %#
*R %m,*R %#
*R %n,*R %#
*R %o,*R %#
*R %p,*R %#
*R %q,*R %#
*R %r,*R %#
*R %s,*R %#
*R %t,*R %#
*R %u,*R %#
*R %v,*R %#
*R %w,*R %#
*R %x,*R %#
*R %y,*R %#
*R %z,*R %#
*R %{,*R %#
*R %|,*R %#
*R %},*R %#
*R %~,*R %#
*R &!,*R %#
*R &#,*R %#
*R &$,*R %#
*R &%,*R %#
*R &&,*R %#
*R &',*R %#
*R &(,*R %#
*R &),*R %#
*R &*,*R %#
*R &+,*R %#
*R &-,*R %#
*R &.,*R %#
*R &/,*R %#
*R &0,*R %#
*R &1,*R %#
*R &2,*R %#
*R &3,*R %#
*R &4,*R %#
*R &5,*R %#
*R &6,*R %#
*R &7,*R %#
*R &8,*R %#
*R &9,*R %#
*R &:,*R %#
*R &;,*R %#
*R &<,*R %#
*R &=,*R %#
*R &>,*R %#
*R &?,*R %#
*R &@,*R %#
*R &A,*R %#
*R &B,*R %#
*R &C,*R %#
*R &D,*R %#
*R &E,*R %#
*R &F,*R %#
*R &G,*R %#
*R &H,*R %#
*R &I,*R %#
*R &J,*R %#
*R &K,*R %#
*R &L,*R %#
*R &M,*R %#
*R &N,*R %#
*R &O,*R %#
*R &P,*R %#
*R &Q,*R %#
*R &R,*R %#
*R &S,*R %#
*R &T,*R %#
*R &U,*R %#
*R &V,*R %#
*R &W,*R %#
*R &X,*R %#
*R &Y,*R %#
*R &Z,*R %#
*R &[,*R %#
*R &],*R %#
*R &^,*R %#
*R &_,*R %#
*R &`,*R %#
*R &a,*R %#
*R &b,*R %#
*R &c,*R %#
*R &d,*R %#
*R &e,*R %#
*R &f,*R %#
*R &g,*R %#
*R &h,*R %#
*R &i,*R %#
*R &j,*R %#
*R &k,*R %#
*R &l,*R %#
*R &m,*R %#
*R &n,*R %#
*R &o,*R %#
*R &p,*R %#
*R &q,*R %#
*R &r,*R %#
*R &s,*R %#
*R &t,*R %#
*R &u,*R %#
*R &v,*R %#
*R &w,*R %#
*R &x,*R %#
*R &y,*R %#
*R &z,*R %#
*R &{,*R %#
*R &|,*R %#
*R &},*R %#
*R &~,*R %#
*R '!,*R %#
*R '#,*R %#
*R '$,*R %#
*R '%,*R %#
*R '&,*R %#
*R '',*R %#
*R '(,*R %#
*R '),*R %#
*R '*,*R %#
*R '+,*R %#
*R '-,*R %#
*R '.,*R %#
*R '/,*R %#
*R '0,*R %#
*R '1,*R %#
*R '2,*R %#
*R '3,*R %#
*R '4,*R %#
*R '5,*R %#
*R '6,*R %#
*R '7,*R %#
*R '8,*R %#
*R '9,*R %#
*R ':,*R %#
*R ';,*R %#
*R '<,*R %#
*R '=,*R %#
*R '>,*R %#
*R '?,*R %#
*R '@,*R %#
*R 'A,*R %#
*R 'B,*R %#
*R 'C,*R %#
*R 'D,*R %#
*R 'E,*R %#
*R 'F,*R %#
*R 'G,*R %#
*R 'H,*R %#
*R 'I,*R %#
*R 'J,*R %#
*R 'K,*R %#
*R 'L,*R %#
*R 'M,*R %#
*R 'N,*R %#
*R 'O,*R %#
*R 'P,*R %#
*R 'Q,*R %#
*R 'R,*R %#
*R 'S,*R %#
*R 'T,*R %#
*R 'U,*R %#
*R 'V,*R %#
*R 'W,*R %#
*R 'X,*R %#
*R 'Y,*R %#
*R 'Z,*R %#
*R '[,*R %#
*R '],*R %#
*R '^,*R %#
*R '_,*R %#
*R '`,*R %#
*R 'a,*R %#
*R 'b,*R %#
*R 'c,*R %#
*R 'd,*R %#
*R 'e,*R %#
*R 'f,*R %#
*R 'g,*R %#
*R 'h,*R %#
*R 'i,*R %#
*R 'j,*R %#
*R 'k,*R %#
*R 'l,*R %#
*R 'm,*R %#
*R 'n,*R %#
*R 'o,*R %#
*R 'p,*R %#
*R 'q,*R %#
*R 'r,*R %#
*R 's,*R %#
*R 't,*R %#
*R 'u,*R %#
*R 'v,*R %#
*R 'w,*R %#
*R 'x,*R %#
*R 'y,*R %#
*R 'z,*R %#
*R '{,*R %#
*R '|,*R %#
*R '},*R %#
*R '~,*R %#
*R (!,*R %#
*R (#,*R %#
*R ($,*R %#
*R (%,*R %#
*R (&,*R %#
*R (',*R %#
*R ((,*R %#
